Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1895,-.02,-.14,-.15,-.03,-.08,-.01,-.03,-.07,-.13,-.19,-.10,.00,-0.08,-0.08,-0.10,-0.09,-0.04,-0.14
1896,-.04,-.16,-.04,-.03,-.13,-.05,-.05,-.15,-.03,-.01,.03,.03,-0.05,-0.05,-0.08,-0.07,-0.08,-0.00
1897,-.16,-.12,-.01,-.01,-.01,.26,.00,.04,.03,.00,-.07,.01,-0.00,-0.00,-0.10,-0.01,0.10,-0.01
1898,-.10,-.06,-.08,-.03,.15,-.19,.02,-.17,-.08,.05,-.03,-.13,-0.05,-0.05,-0.08,0.01,-0.11,-0.02
1899,-.09,.02,-.09,-.01,-.03,-.08,.14,.02,-.19,-.02,-.08,.04,-0.03,-0.03,-0.05,-0.04,0.03,-0.10
1900,-.09,-.03,.02,.05,-.12,-.05,-.06,-.07,.12,.01,-.12,.05,-0.02,-0.02,-0.03,-0.02,-0.06,0.00
1901,.16,.07,-.13,-.05,.09,-.07,.02,.05,-.09,-.02,-.27,-.09,-0.03,-0.03,0.03,-0.03,0.00,-0.13
1902,-.02,-.10,.13,-.12,-.04,.01,.11,-.12,.09,.00,-.08,.03,-0.01,-0.01,-0.00,-0.01,-0.00,0.00
1903,.02,-.04,.01,-.03,.01,.06,.13,-.09,.18,-.15,-.01,.05,0.01,0.01,-0.00,-0.00,0.03,0.01
1904,.04,-.04,.00,-.03,-.03,.08,.04,-.04,.09,.04,.08,.06,0.02,0.02,-0.00,-0.02,0.03,0.07
1905,-.04,-.02,.08,.07,.02,.03,.12,-.02,.07,.01,.01,.11,0.04,0.04,0.01,0.06,0.04,0.03
1906,.10,.10,.14,.03,.09,.01,.06,.02,.04,.08,-.03,.20,0.07,0.07,0.11,0.09,0.03,0.03
1907,-.04,-.06,.13,.10,.09,.09,.04,-.03,.05,-.01,.12,.03,0.04,0.04,0.01,0.11,0.03,0.05
1908,-.02,.02,.08,.00,-.02,.07,.07,.01,.01,.07,-.07,-.06,0.01,0.01,0.03,0.02,0.05,0.00
1909,.00,.04,.08,.18,.13,.05,.06,-.02,.06,.04,.08,-.01,0.06,0.06,0.04,0.13,0.03,0.06
1910,.11,.19,.06,.10,.12,.04,.09,.07,.07,.01,.07,.11,0.09,0.09,0.12,0.09,0.06,0.05
1911,.19,.15,.25,.01,.15,.09,.25,.01,.01,.03,-.09,.03,0.09,0.09,0.20,0.14,0.12,-0.02
1912,.02,.10,.11,.24,.16,.04,.01,.12,-.02,.23,.18,.05,0.10,0.10,0.08,0.17,0.06,0.13
1913,-.04,.20,.08,.19,-.03,.05,.09,.10,.06,.14,.01,.08,0.08,0.08,0.08,0.08,0.08,0.07
1914,.11,.14,.16,.01,-.02,.20,.13,.04,.23,.11,.20,.11,0.12,0.12,0.14,0.05,0.13,0.18
1915,.28,.25,.09,.19,.16,.22,.03,.17,.20,-.03,.02,-.05,0.13,0.13,0.21,0.15,0.14,0.06
1916,.10,.18,.24,.13,.25,.01,-.02,.12,.15,.12,-.04,.11,0.11,0.11,0.17,0.21,0.04,0.07
1917,.03,.18,.16,.05,.09,.04,.12,.21,.05,.17,.09,.07,0.10,0.10,0.12,0.10,0.13,0.10
1918,.13,.06,.09,.04,.30,.14,.08,.16,.13,.12,.19,.20,0.14,0.14,0.09,0.14,0.13,0.15
1919,.10,.10,.13,-.04,.03,.26,.28,.13,.19,.17,.39,.24,0.16,0.16,0.11,0.04,0.22,0.25
1920,.15,.08,.03,.17,.10,.04,.10,.07,.28,.23,.16,.27,0.14,0.14,0.08,0.10,0.07,0.22
1921,.17,.10,.28,.21,.08,.15,.10,.05,.24,.32,.05,.21,0.16,0.16,0.18,0.19,0.10,0.20
1922,.12,.14,.13,.10,.18,.11,.20,.17,.15,.10,.13,.23,0.15,0.15,0.13,0.14,0.16,0.13
1923,.22,.10,.19,.24,.05,.23,.13,.23,.12,.04,.05,.19,0.15,0.15,0.17,0.16,0.19,0.07
1924,.21,.12,.24,.06,.19,.09,.14,.20,.12,.16,.27,.15,0.16,0.16,0.19,0.16,0.14,0.19
1925,.27,.11,.24,.32,.00,.14,.25,.18,.23,.15,.21,.19,0.19,0.19,0.21,0.19,0.19,0.20
1926,.30,.23,.24,.18,.17,.17,.24,.18,.23,.38,.28,.18,0.23,0.23,0.26,0.19,0.20,0.30
1927,.31,.19,.06,.14,.07,.19,.22,.35,.24,.20,.28,.04,0.19,0.19,0.19,0.09,0.25,0.24
1928,.25,.28,.11,.32,.25,.19,.28,.41,.24,.25,.19,.16,0.24,0.24,0.21,0.23,0.29,0.23
1929,.30,.17,.24,.20,.27,.26,.32,.20,.21,.16,.20,.27,0.23,0.23,0.24,0.24,0.26,0.19
1930,.31,.17,.31,.35,.28,.40,.18,.15,.10,.36,.30,.24,0.26,0.26,0.26,0.32,0.24,0.26
1931,.28,.16,.45,.26,.26,.31,.28,.27,.19,.28,.40,.36,0.30,0.30,0.30,0.33,0.29,0.30
1932,.39,.22,.18,.25,.27,.35,.13,.39,.25,.23,.18,.13,0.25,0.25,0.27,0.23,0.29,0.22
1933,.34,.28,.17,.17,.25,.41,.25,.15,.25,.25,.06,.27,0.24,0.24,0.26,0.19,0.27,0.19
1934,.26,.34,.43,.37,.26,.19,.49,.28,.28,.28,.30,.27,0.31,0.31,0.34,0.35,0.32,0.29
1935,.24,.25,.28,.25,.23,.30,.27,.41,.08,.38,.39,.12,0.27,0.27,0.26,0.26,0.33,0.28
1936,.27,.27,.19,.24,.21,.44,.37,.40,.36,.21,.26,.34,0.30,0.30,0.24,0.21,0.40,0.27
1937,.21,.36,.28,.28,.36,.34,.28,.40,.22,.36,.35,.28,0.31,0.31,0.29,0.31,0.34,0.31
1938,.34,.22,.39,.30,.27,.40,.26,.20,.19,.36,.21,.46,0.30,0.30,0.32,0.32,0.29,0.26
1939,.16,.46,.34,.32,.28,.36,.32,.41,.33,.34,.30,.32,0.33,0.33,0.32,0.31,0.36,0.32
1940,.36,.20,.23,.39,.35,.32,.34,.36,.28,.27,.35,.26,0.31,0.31,0.26,0.32,0.34,0.30
1941,.38,.21,.43,.38,.36,.42,.48,.42,.20,.24,.28,.35,0.35,0.35,0.34,0.39,0.44,0.24
1942,.39,.28,.37,.28,.30,.24,.28,.24,.27,.44,.28,.56,0.33,0.33,0.35,0.32,0.25,0.33
1943,.40,.38,.28,.42,.31,.37,.56,.35,.45,.30,.36,.50,0.39,0.39,0.36,0.34,0.43,0.37
1944,.32,.51,.43,.32,.42,.45,.42,.24,.31,.35,.36,.42,0.38,0.38,0.42,0.39,0.37,0.34
1945,.39,.27,.41,.43,.42,.47,.45,.42,.37,.25,.41,.40,0.39,0.39,0.36,0.42,0.44,0.34
1946,.41,.28,.30,.47,.38,.44,.39,.39,.46,.35,.40,.35,0.39,0.39,0.33,0.39,0.41,0.40
1947,.36,.37,.41,.36,.50,.33,.38,.36,.51,.41,.48,.28,0.40,0.40,0.38,0.42,0.36,0.47
1948,.43,.48,.41,.49,.36,.52,.59,.38,.37,.52,.53,.36,0.45,0.45,0.44,0.42,0.49,0.47
1949,.38,.39,.31,.34,.33,.35,.41,.43,.54,.33,.49,.40,0.39,0.39,0.36,0.33,0.40,0.46
1950,.42,.48,.33,.45,.44,.46,.45,.62,.37,.38,.37,.38,0.43,0.43,0.41,0.41,0.51,0.38
1951,.38,.53,.55,.39,.37,.47,.39,.48,.45,.31,.56,.57,0.45,0.45,0.48,0.43,0.45,0.44
1952,.39,.41,.46,.47,.49,.60,.43,.38,.33,.38,.44,.57,0.45,0.45,0.42,0.48,0.47,0.38
1953,.41,.47,.45,.55,.65,.41,.41,.53,.50,.60,.50,.42,0.49,0.49,0.44,0.55,0.45,0.53
1954,.51,.55,.52,.50,.54,.55,.56,.51,.45,.47,.56,.39,0.51,0.51,0.53,0.52,0.54,0.49
1955,.50,.44,.47,.56,.48,.47,.36,.53,.52,.64,.44,.49,0.49,0.49,0.47,0.51,0.45,0.53
1956,.50,.60,.47,.50,.53,.49,.44,.49,.56,.39,.49,.42,0.49,0.49,0.52,0.50,0.47,0.48
1957,.57,.36,.44,.52,.61,.48,.44,.64,.37,.31,.52,.45,0.48,0.48,0.46,0.52,0.52,0.40
1958,.41,.55,.51,.45,.39,.56,.55,.49,.64,.41,.37,.44,0.48,0.48,0.49,0.45,0.53,0.47
1959,.50,.52,.48,.53,.40,.62,.50,.59,.53,.54,.55,.54,0.53,0.53,0.50,0.47,0.57,0.54
1960,.56,.62,.53,.56,.51,.63,.46,.66,.51,.40,.52,.46,0.53,0.53,0.57,0.53,0.58,0.48
1961,.59,.47,.49,.37,.49,.33,.39,.57,.57,.56,.44,.52,0.48,0.48,0.51,0.45,0.43,0.53
1962,.53,.44,.65,.60,.51,.53,.55,.37,.51,.48,.45,.51,0.51,0.51,0.54,0.59,0.48,0.48
1963,.68,.59,.49,.57,.65,.61,.54,.49,.59,.56,.61,.59,0.58,0.58,0.59,0.58,0.55,0.59
1964,.63,.51,.65,.56,.71,.49,.69,.56,.50,.51,.52,.57,0.58,0.58,0.60,0.64,0.58,0.51
1965,.60,.51,.55,.73,.70,.59,.56,.56,.61,.48,.54,.42,0.57,0.57,0.55,0.66,0.57,0.54
1966,.60,.62,.53,.69,.47,.45,.57,.65,.70,.53,.65,.56,0.59,0.59,0.58,0.56,0.56,0.63
1967,.56,.65,.63,.45,.69,.69,.52,.61,.61,.60,.53,.52,0.59,0.59,0.61,0.59,0.61,0.58
1968,.57,.68,.63,.55,.65,.36,.68,.44,.55,.49,.48,.68,0.56,0.56,0.63,0.61,0.49,0.51
1969,.56,.62,.59,.63,.60,.49,.67,.55,.47,.56,.71,.66,0.59,0.59,0.59,0.61,0.57,0.58
1970,.56,.56,.57,.77,.63,.64,.68,.62,.57,.59,.60,.60,0.62,0.62,0.57,0.66,0.65,0.59
1971,.67,.61,.67,.60,.62,.45,.68,.64,.69,.38,.78,.60,0.62,0.62,0.65,0.63,0.59,0.62
1972,.71,.54,.67,.53,.56,.77,.60,.64,.69,.66,.63,.65,0.64,0.64,0.64,0.59,0.67,0.66
1973,.82,.62,.64,.71,.72,.72,.68,.54,.76,.54,.65,.56,0.66,0.66,0.70,0.69,0.65,0.65
1974,.63,.66,.66,.67,.77,.67,.62,.71,.73,.54,.68,.69,0.67,0.67,0.65,0.70,0.67,0.65
1975,.62,.76,.63,.66,.63,.65,.56,.53,.77,.57,.56,.47,0.62,0.62,0.67,0.64,0.58,0.64
1976,.60,.55,.79,.74,.60,.83,.73,.63,.45,.84,.54,.52,0.65,0.65,0.65,0.71,0.73,0.61
1977,.75,.86,.77,.71,.71,.73,.72,.69,.67,.66,.60,.64,0.71,0.71,0.79,0.73,0.71,0.64
1978,.54,.66,.59,.57,.69,.78,.75,.55,.59,.75,.59,.65,0.64,0.64,0.60,0.62,0.69,0.65
1979,.73,.60,.69,.56,.63,.71,.55,.72,.68,.73,.70,.79,0.68,0.68,0.67,0.63,0.66,0.70
1980,.70,.66,.70,.73,.69,.69,.63,.64,.57,.83,.59,.63,0.67,0.67,0.69,0.71,0.66,0.67
1981,.64,.77,.68,.80,.65,.72,.63,.87,.60,.72,.75,.73,0.71,0.71,0.70,0.71,0.74,0.69
1982,.69,.70,.71,.70,.79,.89,.66,.60,.70,.91,.64,.84,0.74,0.74,0.70,0.73,0.72,0.75
1983,.85,.67,.76,.85,.69,.70,.67,.64,.67,.62,.72,.66,0.71,0.71,0.76,0.77,0.67,0.67
1984,.74,.60,.75,.79,.56,.76,.82,.63,.86,.76,.67,.72,0.72,0.72,0.70,0.70,0.74,0.76
1985,.78,.74,.78,.66,.75,.62,.73,.66,.68,.83,.82,.78,0.74,0.74,0.77,0.73,0.67,0.78
1986,.66,.72,.84,.76,.93,.78,.76,.72,.75,.73,.80,.82,0.77,0.77,0.74,0.84,0.75,0.76
1987,.69,.65,.61,.79,.66,.57,.78,.95,.75,.82,.76,.74,0.73,0.73,0.65,0.69,0.77,0.78
1988,.84,.74,.78,.79,.71,.84,.75,.70,.80,.69,.76,.76,0.76,0.76,0.79,0.76,0.76,0.75
1989,.86,.81,.77,.84,.88,.82,.77,.67,.69,.75,.72,.76,0.78,0.78,0.81,0.83,0.75,0.72
1990,.78,.82,.77,.82,.78,.62,.70,.77,.68,.83,.90,.88,0.78,0.78,0.79,0.79,0.70,0.80
1991,.77,.91,.80,.76,.74,.76,.76,.80,.80,.79,.82,.88,0.80,0.80,0.83,0.77,0.77,0.80
1992,.87,.68,.59,.87,.69,.78,.70,.65,.84,.86,.75,.59,0.74,0.74,0.71,0.72,0.71,0.82
1993,.76,.84,.69,.82,.80,.85,.82,.73,.90,.79,.80,.73,0.80,0.80,0.76,0.77,0.80,0.83
1994,.78,.74,.80,.95,.71,.69,.93,.80,.76,.90,.77,.96,0.82,0.82,0.78,0.82,0.81,0.81
1995,.88,.78,1.00,.78,.88,.85,.93,.95,.83,.76,.86,.77,0.86,0.86,0.89,0.89,0.91,0.82
1996,.99,.84,.80,.85,.73,.76,.93,.78,.75,.88,.93,.89,0.84,0.84,0.88,0.79,0.82,0.85
1997,.92,.78,.73,.96,.82,.82,.95,.89,.88,1.01,.79,.92,0.87,0.87,0.81,0.84,0.89,0.89
1998,.86,.87,.97,.89,.89,.94,.82,.78,.77,.69,1.02,.76,0.86,0.86,0.90,0.92,0.85,0.83
1999,.84,.84,.88,.92,.93,.81,.85,.88,.84,.99,.90,.92,0.88,0.88,0.85,0.91,0.85,0.91
2000,.92,.96,.88,.76,.90,.82,.83,.92,.97,.87,.89,1.00,0.89,0.89,0.92,0.85,0.85,0.91
2001,.90,1.09,.92,.74,.94,.91,.98,.93,.87,.78,.86,.81,0.89,0.89,0.97,0.87,0.94,0.84
2002,.84,.93,1.02,.92,.79,.92,.98,.84,.88,.89,.82,.94,0.90,0.90,0.93,0.91,0.91,0.86
2003,.89,.93,.82,.86,.95,.87,1.03,.86,.91,.97,.78,.75,0.89,0.89,0.88,0.88,0.92,0.89
2004,.78,1.01,.86,1.11,.86,.92,1.03,1.06,1.07,1.00,.99,.95,0.97,0.97,0.88,0.94,1.00,1.02
2005,.98,.87,.85,.91,.90,.88,.97,.99,.92,1.03,.82,.90,0.92,0.92,0.90,0.89,0.94,0.92
2006,.86,.77,.92,.91,1.04,.97,.84,1.07,1.02,.97,.90,.85,0.93,0.93,0.85,0.96,0.96,0.96
2007,.90,1.02,1.08,1.05,.89,.84,.94,.79,.96,.92,.89,.80,0.92,0.92,1.00,1.01,0.86,0.92
2008,.98,.90,.85,.71,.94,1.08,1.07,.90,.89,.98,.86,.96,0.93,0.93,0.91,0.83,1.02,0.91
2009,1.01,1.05,.94,.93,.88,.88,.93,.98,1.02,.88,1.07,.93,0.96,0.96,1.00,0.92,0.93,0.99
2010,.96,.90,.76,1.03,1.02,.94,.96,1.00,.83,.92,1.02,.86,0.93,0.93,0.87,0.94,0.97,0.92
2011,.99,.86,1.00,.96,.84,1.06,.91,.90,.98,1.06,.89,.97,0.95,0.95,0.95,0.93,0.96,0.98
2012,1.01,1.03,.99,.95,.91,.98,.89,.74,1.01,1.05,.79,.89,0.94,0.94,1.01,0.95,0.87,0.95
2013,1.03,1.15,.99,.93,.97,1.09,.93,.92,.95,.91,.99,1.11,1.00,1.00,1.06,0.96,0.98,0.95
2014,1.02,.97,.97,.87,1.06,.99,.98,1.25,1.02,.93,.96,1.09,1.01,1.01,0.99,0.97,1.07,0.97
2015,1.01,.89,1.08,.95,1.15,1.09,.97,1.10,1.01,1.07,1.04,.93,1.02,1.02,0.99,1.06,1.05,1.04
2016,.96,1.09,.98,.98,.93,1.04,1.18,.93,1.01,1.12,1.00,1.05,1.02,1.02,1.01,0.97,1.05,1.05
2017,.93,1.05,1.00,1.10,1.11,1.23,1.07,1.05,1.04,.99,1.05,1.00,1.05,1.05,1.00,1.07,1.11,1.02
2018,1.04,1.13,.95,1.12,1.13,1.02,.86,.98,1.13,1.03,.95,.99,1.03,1.03,1.04,1.07,0.95,1.04
2019,1.10,1.08,1.02,1.01,1.01,.96,1.17,1.01,1.14,1.16,1.12,1.00,1.06,1.06,1.07,1.01,1.05,1.14
2020,1.08,1.04,.97,1.07,.95,1.14,1.01,1.06,1.07,1.03,1.09,1.01,1.04,1.04,1.03,1.00,1.07,1.06
2021,1.13,.95,1.07,1.21,.98,1.00,1.10,1.07,1.08,1.09,1.11,1.14,1.08,1.08,1.05,1.08,1.06,1.09
2022,1.10,1.05,1.12,1.22,1.05,.99,1.15,1.05,.89,1.13,1.02,1.06,1.07,1.07,1.09,1.13,1.06,1.01
2023,1.10,1.09,1.13,1.04,1.11,1.05,1.13,1.12,1.00,1.16,1.03,1.14,1.09,1.09,1.11,1.09,1.10,1.06
2024,1.11,1.23,1.06,1.05,1.08,1.06,1.15,.95,1.00,1.00,1.16,1.22,1.09,1.09,1.14,1.07,1.05,1.05
2025,1.08,1.08,1.10,1.18,1.02,1.11,1.17,1.13,1.11,1.17,.87,1.15,1.10,1.10,1.09,1.10,1.14,1.05
2026,1.05,.95,1.14,1.21,1.09,1.18,1.23,1.21,***,***,***,***,***,***,1.10,1.10,1.10,***
